eventid,imonth,iday,country,country_txt,region,region_txt,provstate,city,attacktype1_txt,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,weaptype1_txt,weapsubtype1
202102020018,2,2,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4,Afghanistan,Unknown,Explosives,29
202102020022,2,2,4,Afghanistan,6,South Asia,Takhar,Dashti Qala,Bombing/Explosion,Government (General),18,"Government Personnel (excluding police, military)",Government of Afghanistan,Vehicle of Employees,4,Afghanistan,Unknown,Explosives,8
202102020025,2,2,4,Afghanistan,6,South Asia,Parwan,Charikar,Assassination,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Parwan Police Chief: Abdul Wasi Rahimi,4,Afghanistan,Unknown,Explosives,8
202102020027,2,2,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle,4,Afghanistan,Unknown,Explosives,29
202102020028,2,2,4,Afghanistan,6,South Asia,Khost,Khost,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Patrol,4,Afghanistan,Unknown,Explosives,8
202102020037,2,2,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,Armed Assault,Private Citizens & Property,77,Laborer (General)/Occupation Identified,Not Applicable,Former Oglaigh na hEireann Dissident: Daniel McClean,233,Northern Ireland,Dissident Republicans,Firearms,5
202102020038,2,2,182,Somalia,11,Sub-Saharan Africa,Galguduud,Dhusamareb,Bombing/Explosion,Military,35,Military Transportation/Vehicle (excluding convoys),Somali Armed Forces (SAF),Military Vehicle,182,Somalia,Al-Shabaab,Explosives,16
202102020039,2,2,78,Greece,8,Western Europe,Attica,Athens,Bombing/Explosion,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Hellenic Parliament,Vehicles of New Democracy MP: Constantinos Bogdanos,78,Greece,Unknown,Explosives,17
202102020044,2,2,228,Yemen,10,Middle East & North Africa,Al Hudaydah,Mandar,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Residential Neighborhood,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202102020046,2,2,228,Yemen,10,Middle East & North Africa,Al Hudaydah,At Tuhayta,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,Al-Tuhaita City,City,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202102030001,2,3,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,4,Afghanistan,Unknown,Explosives,29
202102030002,2,3,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,Assassination,Government (General),14,Judge/Attorney/Court,Government of Jalalabad Province,Judge: Hafizullah,4,Afghanistan,Taliban,Firearms,5
202102030010,2,2,95,Iraq,10,Middle East & North Africa,Diyala,Naft Khanah,Bombing/Explosion,Military,39,Paramilitary,Popular Mobilization Forces (PMF),Paramilitary Medical Vehicle,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives,16
202102030011,2,3,123,Mali,11,Sub-Saharan Africa,Mopti,Boni,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Malian Armed Forces,Camp,123,Mali,Jamaat Nusrat al-Islam wal Muslimin (JNIM),Firearms,5
202102030013,2,3,200,Syria,10,Middle East & North Africa,Hamah,Salamiyah,Unknown,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Syrian Armed Forces (SAF),Soldiers,200,Syria,Islamic State of Iraq and the Levant (ISIL),Unknown,
202102030023,2,3,4,Afghanistan,6,South Asia,Helmand,Lashkar Gah,Assassination,Police,25,Police Security Forces/Officers,Afghan Police,Former Sangin District Police Chief: Mohammad Daud,4,Afghanistan,Unknown,Explosives,16
202102030027,2,3,4,Afghanistan,6,South Asia,Kandahar,Kandahar,Unknown,Religious Figures/Institutions,85,Religious Figure,Not Applicable,Religious Leader,4,Afghanistan,Unknown,Unknown,
202102030033,2,3,200,Syria,10,Middle East & North Africa,Al Hasakah,Ras al-Ain,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Shop,200,Syria,People's Protection Units (YPG),Explosives,16
202102030034,2,3,200,Syria,10,Middle East & North Africa,Al Hasakah,Ras al-Ain,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,Ras al-Ayn City,City Center,200,Syria,People's Protection Units (YPG),Explosives,16
202102030035,2,3,4,Afghanistan,6,South Asia,Herat,Ghoryan,Hostage Taking (Kidnapping),Government (General),18,"Government Personnel (excluding police, military)",Government of Ghoryan,Mayor,4,Afghanistan,Unknown,Unknown,
202102040005,2,4,95,Iraq,10,Middle East & North Africa,Diyala,Jurf Naddaf,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Store,95,Iraq,Unknown,Explosives,17
202102040008,2,4,95,Iraq,10,Middle East & North Africa,Diyala,Islah,Unknown,Military,36,Military Checkpoint,Iraqi Army,Checkpoint,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,
202102040010,2,4,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Assassination,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Army,Home of Aviation Commander: Samir al-Maliki,95,Iraq,Unknown,Explosives,16
202102040013,2,4,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,House,95,Iraq,Unknown,Explosives,7
202102040014,2,4,95,Iraq,10,Middle East & North Africa,Diyala,Jalawla,Armed Assault,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Army,"Soldiers: Qusa Abid Ali, Sa'dun Jabir Awed, Omer Alwan Abdulla",95,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,4
202102040017,2,4,182,Somalia,11,Sub-Saharan Africa,Lower Shebelle,War Maxan,Armed Assault,Private Citizens & Property,75,Village/City/Town/Suburb,War Maxan Town,Town,182,Somalia,Al-Shabaab,Firearms,5
202102040019,2,4,75,Germany,8,Western Europe,Berlin,Berlin,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Apartment Building Courtyard,75,Germany,Left-wing extremists,Explosives,31
202102040024,2,4,4,Afghanistan,6,South Asia,Kandahar,Kandahar,Armed Assault,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Security Force (ANSF),Soldier,4,Afghanistan,Taliban,Firearms,5
202102040028,2,4,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,Armed Assault,Educational Institution,50,Other Personnel,Unknown,Principal,4,Afghanistan,Taliban,Firearms,5
202102050002,2,5,4,Afghanistan,6,South Asia,Kandahar,Kandahar,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,Kandahar City,City,4,Afghanistan,Unknown,Explosives,16
202102050003,2,5,95,Iraq,10,Middle East & North Africa,Najaf,Najaf,Facility/Infrastructure Attack,Private Citizens & Property,84,Political Party Member/Rally,Iraqi Communist Party,Headquarters,95,Iraq,Unknown,Firearms,5
202102050005,2,5,95,Iraq,10,Middle East & North Africa,Kirkuk,Rashad,Unknown,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Armed Forces,Forces,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,
202102050014,2,5,153,Pakistan,6,South Asia,Balochistan,Sibi,Bombing/Explosion,Private Citizens & Property,78,"Procession/Gathering (funeral, wedding, birthday, religious)",Kashmir Solidarity Day,Rally,153,Pakistan,Baloch Republican Army (BRA),Explosives,15
202102050015,2,5,153,Pakistan,6,South Asia,Balochistan,Quetta,Bombing/Explosion,Private Citizens & Property,78,"Procession/Gathering (funeral, wedding, birthday, religious)",Kashmir Solidarity Day,Rally,153,Pakistan,Unknown,Explosives,14
202102050023,2,5,228,Yemen,10,Middle East & North Africa,Adan,Aden,Assassination,Terrorists/Non-State Militia,94,Non-State Militia,Security Belt Forces,Vehicle of Deputy Commander: Captain Abdullah Abdul Khaliq al-Mansouri,228,Yemen,Unknown,Firearms,5
202102050028,2,5,200,Syria,10,Middle East & North Africa,Deir ez-Zor,Hajin,Hostage Taking (Kidnapping),Journalists & Media,55,Television Journalist/Staff/Facility,ARK TV,Photojournalist: Ali Saleh Al-Wakka,200,Syria,Syrian Democratic Forces (SDF),Unknown,
202102060009,2,7,182,Somalia,11,Sub-Saharan Africa,Galguduud,Ceel Dheere,Assassination,Government (General),20,Intelligence,National Intelligence and Security Agency (NISA),Head: Abdirashid Abdunur,182,Somalia,Al-Shabaab,Explosives,8
202102060010,2,6,92,India,6,South Asia,Jammu and Kashmir,Srinagar,Armed Assault,Police,23,Police Patrol (including vehicles and convoys),Central Reserve Police Force (CRPF),Battalion,92,India,The Resistance Front (TRF),Firearms,5
202102060011,2,6,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives,16
202102060014,2,6,95,Iraq,10,Middle East & North Africa,Al Anbar,Amiriyat al-Fallujah,Unknown,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Army,Soldiers,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,
202102060015,2,6,95,Iraq,10,Middle East & North Africa,Babil,Musayyib,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Combined Joint Task Force – Operation Inherent Resolve (CJTF-OIR),Combined Joint Task Force Logistics Convoy,422,International,Unknown,Explosives,16
202102060017,2,6,95,Iraq,10,Middle East & North Africa,Babil,Hillah,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Combined Joint Task Force – Operation Inherent Resolve (CJTF-OIR),Combined Joint Task Force Logistics Convoy,422,International,Unknown,Explosives,16
202102060018,2,6,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,4,Afghanistan,Unknown,Explosives,29
202102060020,2,6,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,4,Afghanistan,Unknown,Explosives,8
202102060021,2,6,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Private Citizens & Property,69,Religion Identified,Not Applicable,Hindu Civilian,4,Afghanistan,Khorasan Chapter of the Islamic State,Explosives,16
202102060024,2,6,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4,Afghanistan,Khorasan Chapter of the Islamic State,Explosives,16
202102060025,2,6,153,Pakistan,6,South Asia,Balochistan,Turbat,Armed Assault,Private Citizens & Property,68,Named Civilian,Not Applicable,Civilian: Hafiz Abdul Karim,153,Pakistan,Unknown,Firearms,5
202102060028,2,6,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle,182,Somalia,Unknown,Explosives,29
202102060029,2,6,182,Somalia,11,Sub-Saharan Africa,Bay,Baidoa,Assassination,Police,25,Police Security Forces/Officers,Somali Police Force (SPF),Commander: Mahad Abdirahman Adanin,182,Somalia,Al-Shabaab,Explosives,7
202102060036,2,6,200,Syria,10,Middle East & North Africa,Al Hasakah,Amuda,Hostage Taking (Kidnapping),Educational Institution,48,Teacher/Professor/Instructor,Unknown,Teachers,200,Syria,Democratic Union Party (PYD),Firearms,5
202102060052,2,6,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,233,Northern Ireland,Dissident Republicans,Firearms,5
202102070001,2,7,4,Afghanistan,6,South Asia,Nangarhar,Chamtala,Bombing/Explosion,Police,22,"Police Building (headquarters, station, school)",Afghan Police,Outpost,4,Afghanistan,Unknown,Explosives,15
202102070003,2,7,4,Afghanistan,6,South Asia,Kunduz,Kunduz,Hostage Taking (Kidnapping),Police,25,Police Security Forces/Officers,Afghan Police,Officer,4,Afghanistan,Taliban,Firearms,5
202102070004,2,7,4,Afghanistan,6,South Asia,Jawzjan,Shibirghan,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,4,Afghanistan,Unknown,Explosives,16
202102070005,2,7,4,Afghanistan,6,South Asia,Faryab,Maymana,Bombing/Explosion,Military,35,Military Transportation/Vehicle (excluding convoys),Afghan National Security Force (ANSF),Vehicle,4,Afghanistan,Unknown,Explosives,16
202102070006,2,7,95,Iraq,10,Middle East & North Africa,Saladin,Samarra,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle,95,Iraq,Unknown,Explosives,17
202102070008,2,7,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Store,95,Iraq,Unknown,Explosives,16
202102070009,2,7,4,Afghanistan,6,South Asia,Herat,Herat,Assassination,Government (General),18,"Government Personnel (excluding police, military)",Government of Enjil District,Councilor: Agha Sayed Myah,4,Afghanistan,Unknown,Firearms,5
202102070027,2,7,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Business,1,Gas/Oil/Electric,Trans-Afghanistan Pipeline (TAPI),Head: Abdullah Asifi,4,Afghanistan,Unknown,Explosives,29
202102070030,2,7,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Unknown,,,Unknown,Unknown,,,Unknown,Explosives,8
202102070031,2,7,228,Yemen,10,Middle East & North Africa,Marib,Marib,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,Marib City,Residential Neighborhood,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202102070032,2,7,228,Yemen,10,Middle East & North Africa,Marib,Marib,Bombing/Explosion,Private Citizens & Property,77,Laborer (General)/Occupation Identified,Unknown,Medics,228,Yemen,Houthi extremists (Ansar Allah),Explosives,12
202102070033,2,7,228,Yemen,10,Middle East & North Africa,Marib,Marib,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Yemeni Armed Forces,Headquarters,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202102070035,2,7,228,Yemen,10,Middle East & North Africa,Marib,Al-Makhdarah,Unknown,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Yemeni Army,Military Positions,228,Yemen,Houthi extremists (Ansar Allah),Unknown,
202102070036,2,7,228,Yemen,10,Middle East & North Africa,Marib,Sirwah,Unknown,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Yemeni Army,Military Positions,228,Yemen,Houthi extremists (Ansar Allah),Unknown,
202102070038,2,7,228,Yemen,10,Middle East & North Africa,Marib,Marib,Unknown,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Yemeni Armed Forces,Military Positions,228,Yemen,Houthi extremists (Ansar Allah),Unknown,
202102070041,2,7,182,Somalia,11,Sub-Saharan Africa,Banaadir,Lafoole,Bombing/Explosion,Transportation,104,Highway/Road/Toll/Traffic Signal,Mogadishu-Afgoye Highway,Highway Construction Site,182,Somalia,Unknown,Explosives,16
202102070042,2,7,160,Philippines,5,Southeast Asia,Metropolitan Manila,Manila,Armed Assault,Private Citizens & Property,82,Labor Union Related,International Container Terminal Services Incorporated (ICTSI),Leader: Leonardo Escala,160,Philippines,Unknown,Firearms,5
202102070046,2,7,182,Somalia,11,Sub-Saharan Africa,Galguduud,Dhusamareb,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Somali Armed Forces (SAF),Base,182,Somalia,Al-Shabaab,Explosives,11
202102070051,2,6,95,Iraq,10,Middle East & North Africa,Karbala,Karbala,Hostage Taking (Kidnapping),Private Citizens & Property,83,Protester,Unknown,Activist: Raed Al-Daami,95,Iraq,Unknown,Firearms,5
202102070053,2,7,228,Yemen,10,Middle East & North Africa,Taizz,Taizz,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,Al-Muroor Neighborhood,Neighborhood,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202102080001,2,7,4,Afghanistan,6,South Asia,Ghor,Barakhanah,Unknown,Military,27,Military Barracks/Base/Headquarters/Checkpost,Afghan National Security Force (ANSF),Outpost,4,Afghanistan,Taliban,Unknown,
202102080002,2,8,4,Afghanistan,6,South Asia,Badghis,Qala-i-Naw,Unknown,Government (General),20,Intelligence,National Directorate of Security (NDS),Members,4,Afghanistan,Taliban,Unknown,
202102080006,2,8,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle,4,Afghanistan,Unknown,Explosives,29
202102080009,2,8,95,Iraq,10,Middle East & North Africa,Al Qadisiyah,Diwaniyah,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Combined Joint Task Force – Operation Inherent Resolve (CJTF-OIR),Combined Joint Task Force Logistics Convoy,422,International,Unknown,Explosives,16
202102080010,2,8,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Shop,95,Iraq,Ahl al-Marouf,Explosives,16
202102080011,2,8,4,Afghanistan,6,South Asia,Parwan,Charikar,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,4,Afghanistan,Unknown,Explosives,29
202102080012,2,8,95,Iraq,10,Middle East & North Africa,Dhi Qar,Nasiriyah,Armed Assault,Private Citizens & Property,83,Protester,Unknown,Activist,95,Iraq,Unknown,Firearms,5
202102080013,2,8,95,Iraq,10,Middle East & North Africa,Dhi Qar,Nasiriyah,Bombing/Explosion,Educational Institution,48,Teacher/Professor/Instructor,Unknown,Residence of Teacher,95,Iraq,Unknown,Explosives,28
202102080014,2,8,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Transportation,103,Bridge/Car Tunnel,Al-Binook Bridge,Bridge,95,Iraq,Unknown,Explosives,16
202102080015,2,8,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,4,Afghanistan,Unknown,Explosives,16
202102080025,2,8,182,Somalia,11,Sub-Saharan Africa,Middle Shebelle,Balcad,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,African Union Mission in Somalia (AMISOM),Base,422,International,Al-Shabaab,Firearms,5
202102080034,2,8,60,Egypt,10,Middle East & North Africa,North Sinai,Gifgafa,Armed Assault,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Egyptian Armed Forces,Conscript,60,Egypt,Sinai Province of the Islamic State,Firearms,5
202102080035,2,8,160,Philippines,5,Southeast Asia,Maguindanao,Cotabato City,Assassination,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Government of Cotabato,Village Councilor: Dick Amino Abas,160,Philippines,Unknown,Firearms,5
202102080039,2,8,200,Syria,10,Middle East & North Africa,Aleppo,Al-Bab,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Civilian Residences,200,Syria,People's Protection Units (YPG),Explosives,11
202102080041,2,8,95,Iraq,10,Middle East & North Africa,Dhi Qar,Nasiriyah,Bombing/Explosion,Private Citizens & Property,83,Protester,Nasiriyah Demonstrations,Home of Activist: Ahmed Abbas,95,Iraq,Unknown,Explosives,17
202102090002,2,9,4,Afghanistan,6,South Asia,Kabul,Kabul,Armed Assault,Government (General),18,"Government Personnel (excluding police, military)",Ministry of Rural Rehabilitation and Development,Employees,4,Afghanistan,Unknown,Firearms,5
202102090003,2,9,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Government (General),18,"Government Personnel (excluding police, military)",Ministry of Foreign Affairs,Vehicle of Employees,4,Afghanistan,Unknown,Explosives,8
202102090007,2,9,95,Iraq,10,Middle East & North Africa,Diyala,Jalawla,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Iraqi Army,Outpost,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,4
202102090008,2,9,147,Nigeria,11,Sub-Saharan Africa,Borno,Rann,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Nigerian Armed Forces,Battalion Base,147,Nigeria,Boko Haram,Firearms,5
202102090026,2,9,228,Yemen,10,Middle East & North Africa,Marib,Al-Makhdarah,Unknown,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Yemeni Army,Military Positions,228,Yemen,Houthi extremists (Ansar Allah),Unknown,
202102090037,2,9,228,Yemen,10,Middle East & North Africa,Al Hudaydah,Hudaydah,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Residential Areas,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202102090038,2,9,228,Yemen,10,Middle East & North Africa,Al Hudaydah,Hudaydah,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Residential Areas,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202102090045,2,9,95,Iraq,10,Middle East & North Africa,Diyala,Safra,Bombing/Explosion,Unknown,,,Unknown,Unknown,95,Iraq,Unknown,Explosives,16
202102090046,2,9,95,Iraq,10,Middle East & North Africa,Diyala,Safra,Bombing/Explosion,Unknown,,,Unknown,Unknown,95,Iraq,Unknown,Explosives,16
202102090047,2,9,95,Iraq,10,Middle East & North Africa,Diyala,Safra,Bombing/Explosion,Unknown,,,Unknown,Unknown,95,Iraq,Unknown,Explosives,16
202102090048,2,9,95,Iraq,10,Middle East & North Africa,Diyala,Safra,Bombing/Explosion,Unknown,,,Unknown,Unknown,95,Iraq,Unknown,Explosives,16
202102090049,2,9,95,Iraq,10,Middle East & North Africa,Diyala,Safra,Bombing/Explosion,Unknown,,,Unknown,Unknown,95,Iraq,Unknown,Explosives,16
202102090050,2,9,4,Afghanistan,6,South Asia,Kabul,Kabul,Hostage Taking (Kidnapping),Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,4,Afghanistan,Tehrik-i-Taliban Pakistan (TTP),Firearms,5
202102090051,2,9,228,Yemen,10,Middle East & North Africa,Shabwah,Habban,Hostage Taking (Kidnapping),Violent Political Party,109,Party Official/Candidate/Other Personnel,Southern Transitional Council (STC),Youth and Student Administration Director: Abdel-Qader Abdul Rahman Al-Shibli,228,Yemen,Al-Islah Party,Unknown,
202102100002,2,10,4,Afghanistan,6,South Asia,Kandahar,Kandahar,Armed Assault,Police,25,Police Security Forces/Officers,Afghan Police,Personnel,4,Afghanistan,Unknown,Firearms,5
202102100003,2,10,4,Afghanistan,6,South Asia,Kabul,Kabul,Assassination,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle of District Chief: Mohammadzai Kochi,4,Afghanistan,Taliban,Explosives,29
202102100004,2,10,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Government (General),18,"Government Personnel (excluding police, military)",Ministry of Labor,Vehicle of Employees,4,Afghanistan,Unknown,Explosives,29
202102100006,2,10,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Unknown,,,Unknown,Unknown,,,Taliban,Explosives,16
202102100011,2,10,173,Saudi Arabia,10,Middle East & North Africa,Asir,Khamis Mushayt,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,Khamis Mushait City,City,173,Saudi Arabia,Houthi extremists (Ansar Allah),Explosives,12
202102100017,2,10,78,Greece,8,Western Europe,Attica,Athens,Bombing/Explosion,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Dimokratia,Newspaper Office,78,Greece,Unknown,Explosives,17
202102100019,2,10,4,Afghanistan,6,South Asia,Kandahar,Kandahar,Assassination,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4,Afghanistan,Unknown,Firearms,5
202102100027,2,10,95,Iraq,10,Middle East & North Africa,Babil,Yusufiyah,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Combined Joint Task Force – Operation Inherent Resolve (CJTF-OIR),Combined Joint Task Force Logistics Convoy,422,International,Khyber Brigade,Explosives,16
202102110005,2,11,95,Iraq,10,Middle East & North Africa,Babil,Latifiyah,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Combined Joint Task Force – Operation Inherent Resolve (CJTF-OIR),Combined Joint Task Force Supply Convoy,95,Iraq,Unknown,Explosives,16
202102110007,2,11,4,Afghanistan,6,South Asia,Faryab,Maymana,Assassination,Private Citizens & Property,82,Labor Union Related,Faryab Journalists Union,Head: Qutbuddin Kohe,4,Afghanistan,Unknown,Firearms,5
202102110008,2,11,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Makin,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Pakistan Armed Forces,Security Post,153,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Firearms,5
202102110013,2,11,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Bazidkhel,Armed Assault,Business,6,Medical/Pharmaceutical,Homeopathic Clinic,Doctor: Abdul Qadir,153,Pakistan,Muslim extremists,Firearms,5
202102110019,2,11,228,Yemen,10,Middle East & North Africa,Marib,Marib,Bombing/Explosion,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Yemeni Armed Forces,Military Positions,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202102120005,2,11,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Gilai,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,Galai Area,Area,153,Pakistan,Unknown,Explosives,11
202102120006,2,12,95,Iraq,10,Middle East & North Africa,Saladin,Tulul al-Baj,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Iraqi Armed Forces,Patrol,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives,16
202102120009,2,12,4,Afghanistan,6,South Asia,Kabul,Kabul,Armed Assault,Government (General),18,"Government Personnel (excluding police, military)",Afghan Ministry of Defense,Driver: Mohammad Afzal,4,Afghanistan,Unknown,Firearms,5
202102120010,2,12,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,Assassination,Police,25,Police Security Forces/Officers,Afghan Local Police (ALP),Commander: Mohammad Reza,4,Afghanistan,Unknown,Firearms,5
202102120011,2,12,95,Iraq,10,Middle East & North Africa,Diyala,Adhaim,Facility/Infrastructure Attack,Utilities,107,Electricity,Unknown,Electrical Transmission Tower,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,
202102120020,2,12,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,Bombing/Explosion,Government (General),21,Government Building/Facility/Office,Government of Banaadir,Office,182,Somalia,Unknown,Explosives,7
202102120022,2,12,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Unknown,,,Unknown,Unknown,95,Iraq,Unknown,Explosives,16
202102120026,2,12,95,Iraq,10,Middle East & North Africa,Kirkuk,Daquq,Unknown,Police,25,Police Security Forces/Officers,Iraqi Police Service (IPS),Forces,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,
202102120031,2,12,200,Syria,10,Middle East & North Africa,Deir ez-Zor,Muhaymidah,Bombing/Explosion,Terrorists/Non-State Militia,94,Non-State Militia,Syrian Democratic Forces (SDF),Militia Vehicle,200,Syria,Unknown,Explosives,15
202102130002,2,13,4,Afghanistan,6,South Asia,Kunduz,Kunduz,Unknown,Police,22,"Police Building (headquarters, station, school)",Afghan Police,Outpost,4,Afghanistan,Taliban,Unknown,
